date,open,high,low,close,volume
2024-11-18,188.42,189.15,187.90,188.74,51120000
2024-11-19,188.70,189.82,188.11,189.55,52280000
2024-11-20,189.66,190.10,188.72,189.01,49830000
2024-11-21,188.95,190.43,188.85,190.22,53390000
2024-11-22,190.30,191.05,189.44,190.88,54880000
2024-11-25,190.70,191.55,190.21,191.44,56210000
2024-11-26,191.52,192.40,191.10,192.33,57420000
2024-11-27,192.20,193.18,191.80,192.77,58830000
2024-11-29,192.83,193.66,192.11,193.40,56190000
2024-12-02,193.55,194.48,193.00,194.12,57780000
2024-12-03,194.10,195.23,193.66,194.95,58990000
2024-12-04,195.00,195.80,194.12,195.55,60130000
2024-12-05,195.60,196.42,195.10,196.30,61220000
2024-12-06,196.28,197.05,195.77,196.88,62340000
2024-12-09,196.90,197.66,196.55,197.22,60870000
2024-12-10,197.15,198.33,196.91,198.00,62120000
2024-12-11,198.04,198.74,197.50,198.60,63800000
2024-12-12,198.62,199.55,198.22,199.10,64470000
2024-12-13,199.05,199.95,198.70,199.68,65530000
2024-12-16,199.70,200.42,199.33,200.15,67200000
2024-12-17,200.10,200.66,199.55,200.33,68190000
2024-12-18,200.30,201.15,199.80,200.95,69330000
2024-12-19,200.90,201.75,200.50,201.33,69820000
2024-12-20,201.40,202.22,200.88,201.77,71230000
2024-12-23,201.80,202.55,201.33,202.44,72560000
2024-12-24,202.50,203.10,202.10,202.88,62120000
2024-12-26,202.92,203.80,202.33,203.44,63330000
2024-12-27,203.50,204.22,203.11,204.05,64550000
2024-12-30,204.10,204.90,203.66,204.66,65870000
2024-12-31,204.72,205.30,204.22,205.10,66980000
2025-01-02,205.18,205.90,204.77,205.64,68110000
2025-01-03,205.70,206.55,205.22,206.20,69320000
2025-01-06,206.28,206.99,205.90,206.55,70250000
2025-01-07,206.60,207.55,206.10,207.22,71580000
2025-01-08,207.30,208.15,206.80,207.90,72810000
2025-01-09,207.95,208.80,207.33,208.44,74150000
2025-01-10,208.55,209.20,207.88,208.99,75440000
2025-01-13,209.05,209.82,208.66,209.40,76680000
2025-01-14,209.44,210.22,208.98,210.05,77590000
2025-01-15,210.20,210.90,209.88,210.33,78830000
2025-01-16,210.40,211.18,209.99,210.88,79960000
2025-01-17,210.95,211.70,210.33,211.44,81230000
2025-01-21,211.55,212.20,211.00,212.05,82590000
2025-01-22,212.12,212.88,211.66,212.55,83920000
2025-01-23,212.63,213.44,212.10,213.10,85130000
2025-01-24,213.22,214.05,212.77,213.55,86440000
2025-01-27,213.66,214.55,213.22,214.22,87590000
2025-01-28,214.30,215.05,213.90,214.90,88620000
2025-01-29,214.95,215.66,214.44,215.33,89330000
2025-01-30,215.44,216.20,214.90,216.00,90250000
2025-01-31,216.10,216.88,215.66,216.40,91420000
2025-02-03,216.55,217.10,216.00,216.77,92660000
2025-02-04,216.88,217.44,216.33,217.20,93810000
2025-02-05,217.33,218.05,216.80,217.92,95120000
2025-02-06,218.00,218.80,217.30,218.44,96340000
2025-02-07,218.52,219.10,217.90,218.99,97450000
2025-02-10,219.05,219.66,218.44,219.20,98590000
2025-02-11,219.22,220.10,218.88,219.88,99820000
2025-02-12,219.95,220.75,219.44,220.33,101120000
2025-02-13,220.40,221.18,219.90,220.85,101880000
2025-02-14,220.90,221.66,220.33,221.44,102660000
2025-02-18,221.50,222.22,221.05,221.88,103330000
2025-02-19,221.80,222.66,221.33,222.40,104120000
2025-02-20,222.55,223.10,221.90,222.95,105010000
2025-02-21,223.00,223.80,222.40,223.55,106200000
2025-02-24,223.60,224.33,223.10,224.05,107440000
2025-02-25,224.10,224.90,223.55,224.66,108550000
2025-02-26,224.80,225.42,224.22,225.05,109330000
2025-02-27,225.10,225.88,224.66,225.55,110020000
2025-02-28,225.60,226.30,225.10,226.05,111220000
2025-03-03,226.20,226.92,225.66,226.55,112480000
2025-03-04,226.60,227.33,226.05,227.10,113770000
2025-03-05,227.15,227.88,226.66,227.55,114330000
2025-03-06,227.60,228.22,227.10,228.05,115440000
2025-03-07,228.20,228.92,227.55,228.66,116880000
2025-03-10,228.70,229.40,228.10,229.15,117950000
2025-03-11,229.22,230.00,228.66,229.75,119120000
2025-03-12,229.80,230.55,229.22,230.10,120330000
2025-03-13,230.20,230.88,229.66,230.55,121440000
2025-03-14,230.60,231.33,230.05,231.00,122550000
2025-03-17,231.10,231.80,230.50,231.33,123660000
2025-03-18,231.40,232.10,230.88,231.88,124770000
2025-03-19,231.95,232.66,231.33,232.40,125880000
2025-03-20,232.50,233.22,231.90,232.88,127000000
2025-03-21,232.95,233.66,232.33,233.40,128110000
2025-03-24,233.50,234.20,232.88,233.95,129220000
2025-03-25,234.00,234.75,233.40,234.33,130330000
2025-03-26,234.40,235.10,233.88,234.88,131440000
2025-03-27,234.95,235.66,234.33,235.40,132550000
2025-03-28,235.50,236.20,234.90,235.95,133660000
